gap_between_6star,LimitedBanner(6+0),SpecialBanner(6),SpecialBanner(1),LimitedBanner(1+0),StandardBanner(1+0)
39,336,348,13,172,53
1,646,369,38,217,31
55,300,446,33,27,160
3,981,447,4,61,8
32,480,443,55,28,46
63,600,382,14,215,62
36,168,348,9,51,172
18,678,403,53,64,7
56,541,531,33,59,156
3,746,304,41,40,58
31,635,508,145,166,94
52,598,208,55,76,48
20,1070,1086,17,79,10
50,329,460,74,54,52
47,929,417,10,46,58
46,289,292,115,55,138
21,659,594,146,177,7
61,795,496,7,208,53
48,485,480,38,26,43
14,685,563,11,42,192
3,353,249,14,55,9
14,411,318,110,142,63
54,550,348,79,114,152
51,331,323,25,9,113
61,538,286,116,70,17
12,743,769,24,130,83
54,441,444,59,214,53
27,527,432,51,3,60
60,721,357,58,127,146
34,431,361,4,126,34
55,1103,421,26,75,59
2,260,339,118,55,45
8,401,373,63,102,40
57,585,326,17,259,91
44,582,434,22,54,177
19,605,529,33,42,58
36,472,414,85,193,5
2,646,529,124,122,120
54,698,451,17,2,68
23,828,353,61,28,26
34,596,339,82,79,151
7,450,509,60,74,271
60,524,360,102,339,90
58,330,390,4,55,109
62,563,333,59,122,7
59,544,606,64,15,64
26,443,472,161,13,57
15,572,496,91,60,28
11,653,847,24,115,62
55,588,497,1,22,29
33,669,646,59,177,87
11,438,270,30,12,165
40,848,405,20,99,57
59,523,338,54,54,70
2,580,328,44,20,126
57,670,430,61,45,141
57,701,497,62,238,59
31,549,355,83,39,151
48,608,483,55,105,100
56,415,601,61,93,12
34,395,269,126,74,18
17,638,349,151,64,73
1,1052,314,40,27,52
3,406,363,39,122,55
3,487,343,81,108,180
21,628,431,16,78,56
53,452,382,41,27,69
5,531,256,98,195,58
42,358,371,25,36,40
60,859,307,23,65,52
12,1097,332,58,141,24
34,423,368,89,1,78
54,608,357,4,131,51
20,350,380,89,49,85
39,573,463,16,167,116
30,596,212,204,340,97
6,596,231,29,105,60
8,283,217,88,42,14
63,397,408,57,24,48
25,568,656,55,11,60
52,846,489,38,69,5
70,875,436,89,125,59
62,716,305,39,45,6
24,750,269,42,40,64
4,469,408,32,79,56
55,659,262,49,54,11
36,318,380,6,38,157
15,878,264,78,123,135
37,719,443,56,28,112
9,508,296,58,55,58
37,361,455,1,106,57
54,383,333,58,7,4
6,732,410,62,93,53
62,760,563,58,55,4
10,621,190,2,305,6
59,388,371,47,65,59
17,370,283,54,204,107
25,837,322,55,15,59
56,585,291,31,55,51
57,565,206,7,38,129
63,731,590,101,270,4
18,849,475,122,113,99
60,591,438,199,54,58
42,366,382,104,55,16
2,1035,357,65,10,36
45,489,430,40,112,47
46,758,600,132,152,52
61,412,138,41,8,212
15,595,148,64,37,56
55,589,361,94,87,154
52,586,256,122,61,30
50,857,296,53,149,32
58,435,349,31,8,56
32,455,256,160,18,168
57,819,171,9,10,93
3,300,527,46,54,112
22,244,237,62,31,52
60,552,619,155,144,16
13,528,613,18,125,21
8,521,450,7,120,13
28,707,413,154,42,80
6,298,380,3,35,46
60,486,567,58,6,133
22,1041,202,94,23,55
1,755,298,48,19,111
57,596,384,10,110,65
52,623,277,52,31,18
56,230,270,58,34,25
57,623,396,138,230,43
31,613,577,7,153,60
10,598,416,53,110,24
43,641,401,43,111,50
60,974,298,192,213,34
56,283,234,10,68,38
55,546,220,63,64,30
22,730,455,152,225,28
32,502,334,114,102,50
56,678,294,17,44,41
17,431,556,83,162,57
5,590,259,53,5,143
54,514,431,60,276,61
53,702,352,146,106,106
71,650,273,34,148,63
61,364,388,59,201,89
55,567,540,45,233,152
54,277,507,40,29,63
53,711,457,91,21,48
14,941,243,177,51,65
30,437,432,59,193,58
19,409,187,5,16,45
14,856,317,120,114,121
64,352,501,68,146,52
42,534,340,26,22,84
15,577,362,151,30,55
60,602,551,151,237,117
34,516,399,122,58,111
5,207,428,90,114,159
15,550,464,109,195,61
53,507,315,7,317,151
8,721,309,64,97,116
27,601,455,57,13,11
52,619,703,28,40,75
19,1086,599,62,240,131
34,439,699,29,113,93
59,407,357,87,122,26
44,395,476,165,96,181
51,380,381,58,58,59
32,437,284,70,126,63
57,299,194,126,29,70
55,485,483,141,125,98
43,781,419,59,34,87
56,292,279,151,138,173
56,426,368,101,85,79
56,1077,397,12,55,62
54,356,391,18,26,38
43,576,649,73,117,49
54,946,365,52,49,12
40,959,543,55,170,73
1,592,490,180,75,20
18,769,329,57,34,105
8,362,634,69,60,27
27,456,640,58,122,2
25,255,409,40,143,17
27,478,367,52,178,39
17,562,499,24,13,23
65,947,305,78,96,105
2,533,384,51,112,45
40,1011,360,85,429,62
57,537,414,116,64,58
7,501,366,97,60,4
34,215,606,60,64,180
2,868,573,14,147,6
20,925,477,48,48,60
27,400,618,60,5,51
49,835,517,5,7,53
58,474,360,59,110,10
59,488,446,6,53,11
54,612,461,64,93,52
28,376,288,56,62,133
37,729,545,11,24,109
20,473,278,156,158,61
59,793,641,2,4,107
31,1191,262,135,53,34
52,799,653,112,111,183
44,288,480,58,130,35
25,363,555,57,306,8
52,429,360,4,46,112
14,815,271,53,127,63
9,995,524,4,213,22
31,268,244,6,19,35
54,439,308,59,119,70
13,782,658,107,57,267
62,747,476,59,116,62
16,760,357,51,348,177
17,324,427,129,130,42
40,637,300,4,16,60
52,402,605,99,94,100
2,754,303,58,119,33
30,607,381,16,98,56
55,1079,724,36,101,68
52,1425,654,47,66,107
63,589,533,52,132,108
32,620,476,181,57,145
56,437,377,32,17,34
15,808,740,56,351,42
60,525,317,154,65,7
41,382,457,31,7,13
39,478,381,32,183,98
15,415,525,56,178,6
42,507,525,168,22,212
54,533,488,94,115,89
2,650,406,112,51,111
46,634,419,52,56,55
4,457,383,16,198,111
1,869,441,21,42,78
61,624,380,13,1,76
54,686,434,80,159,24
7,651,389,46,136,28
54,773,427,133,128,20
5,240,383,55,163,110
58,578,483,111,97,11
53,407,470,65,203,23
54,713,348,18,38,1
27,295,464,25,346,20
38,592,1096,43,117,23
30,670,410,60,16,111
54,451,377,24,91,53
37,594,499,50,179,28
65,575,388,34,96,203
16,601,237,38,148,17
11,837,186,30,78,93
8,630,265,28,271,78
18,316,397,50,107,29
30,476,351,41,107,66
49,834,344,57,58,22
37,420,380,143,143,26
59,395,768,61,91,57
56,372,272,106,13,19
25,568,353,63,110,53
31,758,655,89,161,126
5,538,197,152,169,59
55,407,516,112,29,167
57,480,408,65,215,147
57,925,298,58,217,57
56,703,537,45,91,63
12,293,429,121,136,96
30,478,230,52,15,46
18,450,530,84,178,39
2,444,477,55,256,20
37,1315,391,117,81,112
6,733,442,111,12,21
16,549,369,159,181,104
66,828,457,62,95,76
17,823,415,151,9,34
62,782,309,1,189,23
53,460,132,115,195,242
35,610,478,11,3,119
35,487,533,75,57,126
18,701,445,131,52,165
6,748,223,93,21,4
24,840,308,26,138,8
4,449,499,177,109,22
63,280,471,5,26,118
60,221,430,59,105,30
5,869,334,63,21,55
54,330,243,70,154,46
54,427,465,98,94,39
56,877,280,87,93,198
55,1591,244,173,81,142
8,444,179,80,1,138
61,777,440,62,6,58
4,659,216,38,377,78
64,727,355,49,32,148
57,614,388,12,59,64
57,530,466,73,276,21
64,439,495,20,9,26
5,412,266,105,146,81
57,405,416,27,51,92
44,401,411,2,129,64
24,428,710,17,61,22
58,818,343,39,408,169
58,517,346,23,57,107
55,822,474,105,30,104
52,459,316,45,81,60
66,686,403,62,15,59
48,320,310,58,82,40
55,606,396,4,250,75
3,709,569,155,101,206
8,873,464,26,81,74
58,373,553,6,43,110
16,400,614,60,57,32
60,641,516,51,1,65
12,468,385,53,25,1
56,737,511,10,52,44
40,476,369,11,59,56
26,483,558,52,59,2
58,414,303,133,98,13
2,762,446,109,182,56
57,360,463,61,77,13
57,477,521,107,287,22
63,912,363,34,100,47
21,559,351,166,59,39
62,270,497,18,36,122
42,743,644,35,230,278
18,642,471,8,27,16
35,378,382,112,267,7
53,592,347,63,123,61
6,761,347,22,33,7
51,427,448,35,226,211
62,718,703,70,19,121
40,1026,362,159,24,211
33,399,741,109,100,1
60,821,496,62,160,112
21,808,607,177,144,16
1,551,362,43,100,147
54,430,91,60,147,23
60,535,343,100,106,50
35,516,404,33,95,119
51,530,451,56,29,18
51,348,393,68,68,22
30,312,437,107,449,14
17,488,345,108,157,20
32,321,233,145,12,12
69,510,441,34,65,32
12,963,613,42,116,51
10,490,407,7,75,90
56,298,389,13,181,188
62,774,402,98,252,23
60,421,261,6,5,12
34,625,655,170,50,56
54,1307,351,43,114,257
67,556,422,89,114,37
19,292,297,111,63,58
17,385,545,55,58,205
33,518,382,111,67,29
20,520,694,78,60,46
1,465,540,76,169,19
31,853,302,24,100,2
11,1017,335,28,149,16
6,646,243,20,55,9
6,345,456,110,114,141
30,351,391,11,61,178
29,551,273,23,10,10
54,535,507,1,95,18
4,971,398,20,144,63
4,386,418,23,171,166
11,1196,515,111,7,72
3,474,419,53,11,65
30,920,401,28,161,30
19,362,389,203,174,8
61,725,641,18,53,63
4,1041,218,93,14,58
62,1030,575,78,139,59
54,556,415,29,70,60
38,660,226,66,32,48
26,637,417,22,24,20
61,756,862,26,81,95
57,468,385,57,52,58
20,222,324,19,141,74
39,348,669,53,44,16
8,566,242,126,32,67
14,468,302,59,336,7
48,866,158,167,59,46
23,482,507,148,59,51
52,911,548,57,41,2
38,860,246,63,11,50
37,440,262,96,54,19
29,894,364,46,43,69
55,330,376,39,40,103
55,638,453,20,36,91
8,501,323,112,55,159
38,385,226,21,69,52
6,876,353,104,55,16
30,261,437,76,57,93
56,447,380,34,145,29
6,588,226,23,119,134
60,457,191,189,230,66
26,691,279,54,150,54
62,794,420,119,123,168
34,531,262,126,11,84
9,853,391,165,53,68
21,491,625,5,77,46
43,950,450,8,112,70
4,918,426,22,31,71
27,646,526,118,57,156
46,342,680,30,20,59
15,781,259,55,333,149
56,695,272,46,99,12
39,605,709,39,111,5
12,503,593,179,165,44
8,512,372,20,29,28
37,605,242,142,7,44
55,781,673,138,61,38
26,463,403,58,179,287
2,635,408,78,238,265
52,720,609,148,114,5
52,408,314,64,11,132
46,716,493,21,25,76
16,773,272,26,154,17
28,644,338,81,83,82
11,648,358,92,222,3
11,235,394,64,109,134
66,376,482,22,339,137
9,280,254,169,63,27
63,710,463,108,86,9
2,933,203,104,4,50
61,552,375,60,10,47
58,496,638,59,93,124
12,330,370,40,96,117
21,477,316,75,76,189
24,700,219,151,55,88
53,531,387,56,99,116
18,680,621,74,67,121
39,709,399,110,123,39
54,463,320,32,42,58
59,494,628,65,205,154
12,676,449,1,440,32
22,132,223,44,183,3
27,1255,269,56,22,240
4,280,198,2,2,58
56,933,329,13,222,292
57,557,522,56,69,149
52,789,476,13,85,54
23,383,538,22,31,75
48,388,522,47,96,36
1,455,386,39,103,104
20,882,491,122,53,51
35,786,279,170,56,60
24,299,296,109,205,50
53,568,441,16,61,26
54,461,262,7,103,26
62,608,441,61,93,38
4,743,403,7,61,96
64,539,366,151,88,149
59,808,234,61,87,7
6,451,352,121,126,58
24,725,417,198,76,90
8,798,400,14,56,10
13,809,663,1,5,36
56,468,467,112,71,13
64,520,468,16,15,59
7,820,486,147,91,58
2,849,371,23,48,61
4,692,236,50,79,3
4,1323,482,119,51,80
54,350,430,18,10,56
58,318,254,22,52,59
55,622,291,14,60,140
55,473,336,20,131,65
24,416,572,12,34,18
32,415,715,32,59,44
3,863,167,51,13,75
30,672,221,90,81,116
4,681,331,188,41,5
13,488,220,24,55,16
21,1179,491,12,40,99
53,611,213,56,127,60
59,484,522,201,147,35
21,551,294,57,31,133
13,408,316,37,73,6
1,676,325,58,55,43
67,512,296,177,61,86
23,1029,368,29,55,59
40,426,506,29,366,131
56,664,421,46,40,70
1,828,467,19,62,107
58,735,401,2,194,15
61,294,363,16,58,45
16,906,164,9,5,59
9,953,278,141,67,84
56,880,380,178,51,28
58,415,176,11,65,61
13,468,348,18,56,74
55,847,445,63,67,265
10,674,340,166,123,43
54,711,401,73,285,66
8,341,234,65,135,60
36,441,307,30,121,126
48,741,384,8,196,64
3,623,315,63,131,110
21,509,488,58,464,75
55,409,546,59,117,107
56,945,550,60,57,83
57,466,258,48,98,32
54,902,617,20,209,77
58,816,300,95,11,72
62,809,314,58,59,132
6,824,631,74,44,53
64,1819,604,16,16,18
63,522,424,67,62,22
18,697,276,7,70,8
10,563,179,46,55,69
57,670,184,51,74,114
40,865,373,2,62,9
31,733,235,50,181,191
33,587,685,19,123,102
15,368,224,69,333,64
63,274,396,103,8,46
63,752,342,91,43,86
55,500,275,158,11,64
52,697,370,2,45,168
19,644,141,52,19,116
52,691,195,16,169,224
16,526,166,93,410,110
10,809,242,29,61,39
32,502,630,134,14,73
5,513,435,66,16,56
2,490,350,54,70,108
57,540,275,168,61,41
56,772,325,85,110,12
64,430,391,68,61,93
7,713,237,46,164,108
11,666,429,70,145,103
16,496,459,71,50,131
62,343,478,156,55,47
61,1036,372,56,35,216
20,312,577,153,21,53
17,317,469,1,27,64
39,364,303,11,80,29
59,656,503,5,96,2
8,861,625,44,61,4
22,369,420,28,114,90
59,711,140,44,68,74
43,851,511,38,55,4
21,524,613,186,44,132
41,441,506,102,58,95
7,460,242,176,285,36
18,569,364,90,160,59
38,466,400,5,148,1
2,620,314,132,10,122
34,560,287,76,56,13
19,502,351,17,3,24
21,422,370,82,54,92
39,1054,233,3,188,32
61,695,422,134,113,49
1,442,488,137,74,61
5,562,246,27,55,14
14,662,376,9,31,63
29,971,196,50,73,98
17,583,476,47,56,76
26,374,347,124,124,6
65,404,602,117,166,7
1,354,529,177,5,5
64,576,272,13,77,22
36,533,449,88,94,22
56,807,369,116,56,200
64,601,225,121,109,41
18,724,293,39,28,52
2,450,407,58,224,122
60,1127,434,154,101,28
24,540,323,33,60,28
8,626,302,3,1,174
57,600,299,183,76,2
16,1300,490,58,21,72
54,623,389,58,58,69
16,998,382,159,2,53
22,384,439,134,1,61
42,247,418,149,1,63
53,382,451,54,26,59
31,358,269,75,104,54
5,427,408,36,137,51
2,912,298,104,323,10
53,449,515,51,37,27
39,527,436,60,130,6
61,585,452,50,87,38
63,532,343,26,13,65
57,788,498,26,55,30
55,730,314,38,82,246
48,509,460,96,16,113
3,431,616,149,104,57
47,270,510,7,32,272
32,782,302,58,76,140
59,873,245,90,59,52
38,448,267,10,29,53
13,520,367,36,62,24
4,393,531,13,60,131
7,739,478,59,57,64
64,370,403,58,275,23
48,426,348,61,112,66
56,394,511,3,125,102
55,859,488,80,68,70
36,995,571,56,151,121
51,676,361,59,1,100
57,617,237,140,865,95
62,214,376,65,35,81
6,625,373,18,203,60
63,458,347,44,57,63
22,699,334,75,57,80
52,426,430,116,31,261
10,703,205,5,118,84
63,472,816,16,59,16
38,430,247,99,56,106
54,1093,317,60,21,50
46,248,329,35,45,26
5,652,705,133,138,54
3,589,256,6,47,55
40,781,246,43,159,27
14,567,266,86,3,16
20,675,406,59,8,98
64,415,308,131,132,46
56,429,397,70,198,56
39,856,427,107,27,58
53,410,220,15,76,94
53,518,404,45,115,36
25,588,396,59,71,62
63,550,280,84,112,22
58,1030,403,28,77,256
7,370,480,61,92,54
5,308,493,74,37,116
60,871,403,156,178,88
56,437,414,110,115,38
33,746,584,43,51,57
11,515,473,66,69,80
54,742,547,60,116,95
29,284,215,126,53,26
31,1090,222,64,380,60
56,299,206,110,39,51
26,247,363,75,52,65
34,651,431,107,55,22
53,671,602,83,45,323
56,1065,558,32,34,11
29,749,504,77,28,118
54,1067,368,72,133,41
14,643,573,132,57,8
63,604,327,53,41,16
35,545,299,18,131,64
12,708,422,22,10,50
17,604,305,8,88,132
64,416,397,69,10,60
7,449,297,114,9,12
59,633,453,9,180,59
52,1256,250,188,22,27
15,579,285,4,153,52
9,654,188,102,28,12
64,364,610,64,93,116
58,399,393,46,11,58
22,954,366,86,38,35
58,686,253,64,14,37
57,535,405,168,65,29
42,824,705,59,207,66
16,988,421,57,3,58
48,689,457,157,87,65
53,921,626,68,158,127
57,514,366,110,195,45
61,602,416,39,174,63
8,1006,264,73,85,1
7,804,489,56,20,8
49,621,361,108,149,55
2,580,335,41,122,30
13,650,722,12,70,49
61,217,276,93,56,1
52,1026,244,108,182,54
36,1076,265,103,66,112
55,844,231,131,174,32
58,783,313,47,60,10
56,1172,270,191,1,23
56,500,631,26,34,215
45,342,392,53,232,7
55,404,179,64,324,58
6,593,275,29,11,20
58,778,360,2,34,115
2,731,353,4,23,176
12,360,321,90,152,24
34,645,356,74,42,61
64,886,262,4,61,15
55,708,202,132,43,23
15,965,380,95,50,7
53,669,605,36,141,14
13,462,524,59,94,135
58,957,380,1,73,36
23,539,358,122,57,71
44,729,303,13,97,29
56,791,537,24,196,54
27,561,363,92,17,23
62,708,292,32,9,102
57,635,351,49,98,121
16,965,387,61,63,66
56,903,349,14,272,156
1,1344,387,63,120,1
34,884,334,98,62,38
65,754,435,76,59,19
60,657,406,6,176,43
6,845,212,7,49,53
58,723,513,5,184,225
53,300,207,22,226,36
44,512,405,22,82,60
52,327,383,200,182,120
59,597,710,42,57,100
56,354,415,52,23,146
27,522,308,122,49,61
47,584,434,28,69,24
63,754,402,28,88,305
25,628,325,161,179,15
56,1495,485,14,167,111
11,412,474,2,77,95
55,686,331,72,61,54
59,322,388,69,6,48
10,872,298,53,140,61
54,651,233,61,8,10
33,444,150,63,21,53
1,651,349,59,61,55
20,909,451,54,2,54
45,416,360,51,47,63
7,547,313,10,67,64
40,536,686,27,68,38
3,444,191,6,152,17
58,195,228,38,45,111
61,741,391,65,123,119
59,985,425,30,56,38
6,836,476,177,66,19
11,467,258,70,284,186
58,365,401,113,101,94
59,915,366,57,88,57
23,356,376,155,20,88
19,386,347,118,116,31
32,491,224,140,16,125
3,502,376,52,49,14
3,825,470,53,62,49
43,701,499,24,109,128
54,405,323,131,147,7
62,444,418,64,101,59
40,503,260,23,134,138
34,386,300,66,113,81
6,404,365,102,95,58
53,760,376,70,123,62
56,637,660,121,257,15
48,837,316,100,78,77
4,345,497,95,7,57
48,422,388,81,52,104
10,629,509,60,120,119
48,713,280,63,14,64
15,604,624,80,118,101
37,587,488,150,107,93
16,696,294,112,58,16
52,889,365,84,126,7
32,538,529,16,64,4
55,593,446,106,53,100
7,1099,285,50,82,56
36,767,356,26,237,3
46,251,371,54,67,61
12,244,294,55,52,75
9,760,451,27,156,62
62,509,261,16,34,63
2,557,337,98,46,65
43,446,540,46,182,82
56,528,279,56,53,5
58,719,422,58,53,28
5,541,584,94,31,34
55,973,420,36,14,74
65,366,421,62,19,158
5,307,308,22,162,32
21,326,317,165,46,27
47,687,349,92,55,62
39,434,357,54,101,112
31,506,303,116,184,86
35,841,458,88,92,234
57,707,479,38,97,111
55,814,256,57,116,183
44,270,233,80,159,115
63,371,218,95,212,154
3,596,614,26,36,128
14,660,428,60,40,62
52,458,309,51,93,55
23,734,503,65,46,28
17,597,387,22,42,11
52,938,509,182,51,168
1,653,468,142,213,54
3,1510,355,10,115,78
31,438,603,118,312,47
61,838,428,41,50,139
61,369,413,8,26,121
61,499,309,16,216,54
62,639,570,64,34,57
44,683,347,50,60,120
55,505,220,132,58,137
4,626,232,60,109,68
57,1121,403,12,81,52
56,904,494,59,17,64
59,446,425,27,335,57
60,630,336,52,151,22
60,529,318,12,134,57
16,1135,609,116,29,46
20,376,361,58,107,34
53,666,322,35,130,32
12,602,649,37,100,24
10,494,388,29,53,185
30,879,235,66,67,40
2,407,359,58,121,86
36,678,622,65,34,33
61,637,403,127,53,192
59,744,340,45,15,33
28,818,580,63,137,61
40,908,348,1,42,132
45,485,265,8,155,84
26,386,469,55,51,68
69,396,493,30,129,14
49,394,308,49,14,103
36,435,228,1,45,101
55,445,487,54,58,113
4,445,272,112,61,82
26,356,481,32,146,17
59,901,521,10,53,16
29,417,463,23,260,30
53,383,260,159,68,71
7,630,589,57,34,97
35,402,211,7,65,65
14,249,296,58,64,56
34,807,197,20,39,53
18,695,584,115,36,149
40,977,449,176,149,72
57,925,643,25,96,65
56,548,519,61,43,118
42,638,199,15,94,56
56,472,305,23,5,154
7,544,492,7,176,71
27,434,423,14,74,175
10,451,619,135,130,87
52,608,434,36,82,161
41,407,365,71,107,51
11,488,694,29,116,122
14,697,474,54,2,64
36,868,485,23,62,143
56,927,396,102,226,35
62,508,488,121,54,71
12,378,212,66,215,108
14,506,337,156,90,26
1,554,379,2,37,53
3,587,334,38,64,2
7,738,334,19,41,153
53,1034,395,43,60,2
58,506,425,53,53,161
62,366,395,160,71,64
60,591,481,66,49,27
33,899,222,36,79,7
57,332,458,60,53,53
7,609,369,120,83,71
25,451,579,100,132,119
31,232,418,146,63,93
13,1247,630,61,51,35
22,881,314,24,366,120
29,421,283,197,40,71
56,511,471,123,81,24
32,622,348,111,8,57
19,516,358,95,285,14
4,645,349,54,30,56
56,364,402,48,193,4
38,752,589,61,55,127
32,605,296,10,80,83
52,619,413,53,104,16
32,520,379,55,61,76
12,666,686,54,81,137
35,384,330,63,69,50
51,914,556,64,71,58
8,551,413,38,9,324
9,566,375,17,15,27
61,354,651,111,86,99
51,340,552,119,1,9
12,677,442,38,162,4
59,532,682,19,118,61
32,620,488,186,151,173
61,326,279,95,56,17
6,549,626,57,86,71
9,941,711,88,8,20
16,460,692,31,46,85
13,826,346,125,236,39
54,631,528,14,179,15
35,877,573,49,10,1
68,890,425,128,117,43
57,894,482,7,80,70
40,487,406,59,201,26
3,447,436,138,137,54
56,688,424,81,52,67
10,358,465,58,110,56
54,463,399,62,108,57
4,601,448,15,59,42
21,482,405,77,35,114
7,365,377,57,18,65
56,615,423,104,128,26
7,644,436,119,114,179
27,452,374,64,214,94
47,646,346,101,97,60
20,425,255,93,21,73
37,337,474,16,90,2
4,543,282,7,35,66
57,668,430,4,128,24
61,341,335,100,81,18
65,260,395,56,14,171
65,284,377,3,55,20
8,625,387,61,57,10
23,261,672,75,73,62
49,562,537,62,58,109
51,537,487,63,171,34
18,499,448,65,9,56
31,261,441,82,315,200
59,397,254,5,237,204
42,367,244,28,22,22
29,469,314,34,22,77
20,579,585,74,64,181
59,328,303,158,447,57
64,1029,476,1,119,236
38,195,258,31,94,70
19,624,333,27,2,69
18,501,538,62,45,5
63,577,269,112,136,139
4,513,530,86,68,243
26,739,487,189,36,192
23,785,439,46,103,175
3,923,220,111,64,130
36,460,615,183,213,98
8,975,424,116,83,147
11,634,365,154,110,53
1,589,280,129,189,14
53,782,428,62,61,78
12,816,431,55,87,51
60,482,399,28,17,38
43,465,252,11,9,135
15,666,305,163,5,18
62,970,219,6,24,23
56,787,527,54,60,45
12,812,513,78,130,176
62,483,401,47,57,160
23,583,253,139,57,35
42,872,287,121,8,36
59,297,323,54,98,109
25,381,494,57,41,82
64,440,433,120,102,13
62,349,377,137,63,115
36,504,334,68,103,108
62,623,180,52,49,65
60,496,871,64,116,103
33,947,334,57,117,27
57,448,299,22,122,182
12,1568,418,57,87,98
56,1230,341,46,83,49
18,312,388,34,42,2
12,782,354,32,96,29
8,951,426,24,208,45
26,700,468,185,4,42
35,378,272,41,45,146
30,486,406,86,2,41
5,284,278,33,120,23
65,512,467,192,24,75
16,352,523,34,98,126
22,623,204,61,197,20
18,316,463,132,1,78
32,436,284,84,45,124
25,435,319,68,55,88
12,935,392,14,93,58
17,526,470,103,23,2
20,706,332,101,219,190
56,550,424,113,312,56
49,701,255,82,107,72
62,776,493,17,10,218
67,498,533,16,39,93
43,531,570,30,97,61
25,360,211,71,52,32
39,323,386,97,73,212
16,525,260,65,16,83
11,575,514,56,44,38
23,631,471,53,60,160
58,620,329,149,58,68
57,567,215,72,117,20
7,655,445,65,106,125
11,710,435,118,58,186
62,473,340,56,86,63
17,574,395,154,2,71
14,939,482,1,19,301
46,931,241,70,38,8
10,366,219,175,125,5
57,600,319,88,36,173
11,977,330,161,56,31
57,419,528,52,12,10
5,491,537,122,92,68
56,318,479,64,93,104
21,1304,384,143,46,79
25,501,386,35,50,51
16,834,449,71,54,36
20,549,451,108,115,108
10,437,303,26,56,17
58,329,304,53,57,58
9,396,255,2,75,190
33,779,535,153,65,98
33,349,211,3,52,66
27,506,469,161,49,90
30,748,491,65,142,128
12,604,406,27,129,7
58,684,342,7,62,25
55,373,489,53,37,4
23,544,544,71,115,26
55,266,260,119,119,18
18,1259,491,93,15,63
53,870,536,35,49,30
6,324,418,120,84,97
47,566,381,71,66,62
8,300,532,24,141,48
42,675,148,57,273,61
15,411,315,14,68,65
52,762,341,56,91,66
53,591,351,4,9,70
47,658,261,127,135,61
20,360,280,83,103,62
14,517,691,16,83,92
39,635,405,76,173,33
54,271,269,137,133,131
28,364,406,50,60,100
49,732,248,58,101,60
49,666,284,151,150,14
10,419,471,174,60,22
43,644,573,27,81,44
20,621,470,99,8,42
1,524,784,9,44,15
39,469,540,4,113,8
14,853,403,61,41,112
22,580,249,173,14,13
5,611,528,18,61,41
13,452,408,71,204,60
7,327,319,20,449,25
54,516,487,85,104,32
29,542,238,39,366,56
4,492,507,15,145,5
56,505,244,1,96,9
19,606,312,43,98,8
67,760,252,70,106,54
69,604,443,26,12,78
3,1320,371,54,15,1
60,566,448,67,176,150
5,525,618,56,50,77
6,638,634,57,20,62
61,448,540,42,38,137
66,594,431,114,258,66
53,967,404,65,142,123
64,479,370,26,110,56
49,530,216,158,5,83
27,608,464,22,180,59
56,661,371,94,77,106
6,788,448,60,116,61
6,403,426,73,93,39
55,685,205,2,137,61
19,585,319,66,111,159
64,416,352,24,131,28
3,500,558,18,241,70
31,333,424,171,21,73
22,386,389,21,85,66
16,990,453,10,316,16
56,665,410,62,152,14
42,310,218,109,5,50
3,498,627,34,1,63
1,645,256,56,164,14
17,606,247,177,10,130
40,632,523,24,42,29
4,472,251,204,376,28
60,459,400,23,1,36
55,698,359,77,50,32
6,874,377,181,122,56
64,514,465,58,178,15
59,210,461,175,182,87
5,560,292,62,116,18
18,449,430,70,6,107
56,538,550,69,64,65
25,838,174,5,18,48
14,453,476,139,44,28
38,399,289,181,276,62
22,600,477,63,80,29
36,427,804,192,16,74
54,1048,573,168,15,78
54,495,711,9,108,67
30,586,432,130,106,47
45,355,456,98,248,72
58,324,416,147,83,60
65,381,252,53,141,41
4,903,277,14,1,40
7,740,627,78,2,84
11,225,342,51,92,45
56,730,309,38,122,136
63,444,382,135,74,64
6,231,440,18,77,60
58,908,430,23,116,56
24,260,353,45,25,158
57,443,359,176,12,7
15,493,309,161,129,16
36,911,295,36,11,126
8,649,393,36,55,29
55,688,375,109,54,57
6,369,350,82,76,28
9,418,396,13,193,43
18,457,433,115,27,21
60,511,262,108,170,8
51,461,319,65,144,10
41,314,441,103,32,20
64,206,345,27,187,128
1,352,328,161,191,131
33,480,478,22,97,10
4,1009,236,98,52,20
48,1095,219,49,162,52
1,636,444,2,64,131
2,485,396,29,97,62
54,568,328,45,70,35
8,312,435,42,103,4
23,364,371,146,80,122
58,456,363,41,4,55
6,471,386,23,222,16
52,410,219,75,22,161
54,844,396,126,65,160
10,253,282,20,285,49
4,291,318,78,30,55
58,441,513,124,110,156
13,944,539,88,2,84
17,470,387,58,62,23
4,398,725,2,123,98
10,383,360,180,63,317
21,503,415,11,11,1
52,532,319,56,283,2
59,660,360,72,62,21
6,644,393,218,66,9
3,664,574,94,7,81
65,658,409,61,229,75
46,1202,450,32,127,18
20,791,437,165,69,58
5,388,264,48,128,24
6,1143,635,83,189,94
25,722,300,38,244,10
64,531,396,151,298,141
23,736,413,10,90,41
56,326,480,68,100,16
8,349,337,20,60,125
44,498,245,125,74,16
4,421,443,186,4,14
17,371,219,64,65,92
39,356,363,71,213,64
53,481,462,187,18,23
45,407,333,122,43,23
57,890,233,5,78,179
34,130,569,173,63,13
43,491,237,32,17,100
62,442,187,10,156,55
64,533,289,68,162,20
